id;response_datetime;tank_number;mileage_current;mileage_datetime;mileage_remain;mileage_update_datetime
1;2021-06-05T00:38:16;Brazil;withdrawal olive;experiences;stable;synthesize model
2;2021-06-05T02:30:15;Guatemala;cutting-edge Liaison Fresh;partnerships initiative;Legacy Account;Cotton
3;2021-06-04T19:55:27;withdrawal;parallelism Incredible;methodology Alaska;Spain Uganda;Music application synthesize
4;2021-06-05T00:23:46;tangible Bedfordshire;exploit;calculate;Ohio;convergence integrated Inverse
5;2021-06-04T06:34:45;Terrace;vortals;Chicken SSL online;parsing;Shirt International online
6;2021-06-04T08:00:50;green Fiji Island;Outdoors;Metal virtual platforms;Rhode Handmade;Liaison
7;2021-06-04T22:32:47;Berkshire Denar;XML;empower Multi-tiered;Fantastic Fantastic;leading-edge emulation bypass
8;2021-06-04T16:03:42;orchestrate;withdrawal Organic web-enabled;Operative;bluetooth orange;program
9;2021-06-05T03:05:13;incubate;matrix;New full-range encryption;HTTP Specialist;Tools up hard
10;2021-06-04T19:42:19;Group customized Bangladesh;Future-proofed Cape;Officer Berkshire;program;Regional methodologies Soft
